nom,commune,proprietaire,gestionnaire,voieentree,voiesortie,avancement,typeparking,situation,parkingtempsreel,gabarit,capacite,capacite2rm,capacitevelo,capaciteautopartage,capacitepmr,usage,vocation,reglementation,fermeture,codetype,gid,gml_id,longitude,latitude
Gare de Saint-Germain-au-Mont-d'Or,SAINT-GERMAIN-AU-MONT-D'OR,GRAND LYON,SNCF,Avenue Louis Armand,Avenue Louis Armand,Existant,P+R Gare,En surface,0,2.2,64,0,0,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,678,pvo_patrimoine_voirie.pvoparking.678,4.805213,45.89069499905727
Gare de Dommartin-Lissieu,LISSIEU,GRAND LYON,SNCF,Chemin des Chevreuils,Chemin des Chevreuils,Existant,P+R Gare,En surface,0,2.0,115,0,0,0,2,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,800,pvo_patrimoine_voirie.pvoparking.800,4.735394,45.840118999057225
Gare de Givors Ville,GIVORS,GRAND LYON,GRAND LYON,Rue Pierre Sémard,Rue Pierre Sémard,Existant,P+R Gare,En surface,0,2.0,415,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,2,944,pvo_patrimoine_voirie.pvoparking.944,4.76298,45.585582999056996
Hôpital Croix-Rousse,CALUIRE-ET-CUIRE,HCL,HCL,Grande rue de la Croix-Rousse,Grande rue de la Croix-Rousse,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,2.0,500,0,0,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,4,164,pvo_patrimoine_voirie.pvoparking.164,4.832684,45.78185299905715
Flesselles,Lyon 1 er,Particulier,Particulier,Rue de Flesselles,Rue de Flesselles,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,2.0,100,0,0,0,1,Réservé abonnés,Résidentielle,Payant,Ouvert 24h/24h,4,8,pvo_patrimoine_voirie.pvoparking.8,4.826532,45.77108099905715
Terme,Lyon 1 er,Particulier,Particulier,Rue du Jardin des Plantes,Rue du Jardin des Plantes,Existant,Parc privé (ou concédé non GL),En ouvrage (en élévation),0,2.0,84,0,0,0,1,Réservé abonnés,Résidentielle,Payant,Ouvert 24h/24h,4,226,pvo_patrimoine_voirie.pvoparking.226,4.830757,45.769698999057155
Parking Opéra-Tolozan,Lyon 1 er,SAS Parc Opera,SAS Parc Opera,Place Tolozan,Place Tolozan,Existant,Parc privé (ou concédé non GL),En ouvrage (sous-sol),0,2.0,315,6,0,0,2,Mixte,Mixte,Payant,Ouvert 24h/24h,4,340,pvo_patrimoine_voirie.pvoparking.340,4.837468,45.768994999057135
Duhamel,Lyon 2 ème,Particulier,Particulier,Rue Duhamel,Rue Duhamel,Existant,Parc privé (ou concédé non GL),En ouvrage (en élévation),0,2.0,500,0,0,0,1,Réservé abonnés,Mixte,Payant,Ouvert 24h/24h,4,496,pvo_patrimoine_voirie.pvoparking.496,4.829587,45.75031499905713
Verdun,Lyon 2 ème,SNCF,Particulier,6 cours de Verdun,6 cours de Verdun,Existant,Parc privé (ou concédé non GL),En ouvrage (en élévation),0,2.0,200,0,0,0,1,Réservé abonnés,Mixte,Payant,Ouvert 24h/24h,4,108,pvo_patrimoine_voirie.pvoparking.108,4.823202,45.75007299905713
Central Parc,Lyon 2 ème,Particulier,Particulier,Rue de Tupin,Rue de Tupin,Existant,Parc privé (ou concédé non GL),En ouvrage (en élévation),0,2.0,180,0,0,0,1,Mixte,Mixte,Payant,Ouvert 24h/24h,4,155,pvo_patrimoine_voirie.pvoparking.155,4.833972,45.76287399905714
